,3fgl,3fgl-cls1,4fgldr1,4fgldr1-cls1,4fgldr2,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1
0,J0001.2-0748,bll,J0001.2-0747,bll,J0001.2-0747,bll,J0001.2-0747,bll,J0001.2-0747,bll
1,J0001.4+2120,fsrq,J0001.5+2113,fsrq,J0001.5+2113,fsrq,J0001.5+2113,fsrq,J0001.5+2113,fsrq
2,J0002.2-4152,bcu,J0001.6-4156,bcu,J0001.6-4156,bcu,J0001.6-4156,bcu,J0001.6-4156,bcu
3,J0003.2-5246,bcu,J0003.1-5248,bcu,J0003.1-5248,bcu,J0003.1-5248,bcu,J0003.1-5248,bcu
4,J0003.8-1151,bcu,J0003.9-1149,bll,J0003.9-1149,bll,J0003.9-1149,bll,J0003.9-1149,bll
5,J0004.7-4740,fsrq,J0004.4-4737,fsrq,J0004.4-4737,fsrq,J0004.4-4737,fsrq,J0004.4-4737,fsrq
6,J0006.4+3825,fsrq,J0005.9+3824,fsrq,J0005.9+3824,fsrq,J0005.9+3824,fsrq,J0005.9+3824,fsrq
7,J0007.0+7302,PSR,J0007.0+7303,PSR,J0007.0+7303,PSR,J0007.0+7303,PSR,J0007.0+7303,PSR
8,J0008.0+4713,bll,J0008.0+4711,bll,J0008.0+4711,bll,J0008.0+4711,bll,J0008.0+4711,bll
9,J0008.6-2340,bll,J0008.4-2339,bll,J0008.4-2339,bll,J0008.4-2339,bll,J0008.4-2339,bll
10,J0009.1+0630,bll,J0009.1+0628,bll,J0009.1+0628,bll,J0009.1+0628,bll,J0009.1+0628,bll
11,J0009.3+5030,bll,J0009.3+5030,bll,J0009.3+5030,bll,J0009.3+5030,bll,J0009.3+5030,bll
12,J0009.6-3211,bcu,J0009.7-3217,rdg,J0009.7-3217,rdg,J0009.7-3217,rdg,J0009.7-3217,rdg
13,J0012.4+7040,bcu,J0012.0+7043,bcu,J0012.0+7043,bcu,J0012.0+7043,bcu,J0012.0+7043,bcu
14,J0013.2-3954,bll,J0013.1-3955,bll,J0013.1-3955,bll,J0013.1-3955,bll,J0013.1-3955,bll
15,J0013.9-1853,bll,J0013.9-1854,bll,J0013.9-1854,bll,J0013.9-1854,bll,J0013.9-1854,bll
16,J0014.0-5025,bll,J0014.1-5022,bll,J0014.1-5022,bll,J0014.1-5022,bll,J0014.1-5022,bll
17,J0014.6+6119,bcu,J0014.8+6118,bcu,J0014.8+6118,bcu,J0014.8+6118,bcu,J0014.8+6118,bcu
18,J0014.7+5802,bll,J0014.7+5801,bll,J0014.7+5801,bll,J0014.7+5801,bll,J0014.7+5801,bll
19,J0015.7+5552,bcu,J0015.6+5551,bll,J0015.6+5551,bll,J0015.6+5551,bll,J0015.6+5551,bll
20,J0016.3-0013,fsrq,J0016.2-0016,fsrq,J0016.2-0016,fsrq,J0016.2-0016,fsrq,J0016.2-0016,fsrq
21,J0017.2-0643,bcu,J0017.0-0649,bcu,J0017.0-0649,bcu,J0017.0-0649,bcu,J0017.0-0649,bcu
22,J0017.6-0512,FSRQ,J0017.5-0514,FSRQ,J0017.5-0514,FSRQ,J0017.5-0514,FSRQ,J0017.5-0514,FSRQ
23,J0018.4+2947,bll,J0018.4+2946,bll,J0018.4+2946,bll,J0018.4+2946,bll,J0018.4+2946,bll
