,3FGL,CLASS1-3FGL,4FGLDR1,CLASS1-4FGLDR1,4FGLDR1-3FGL,4FGLDR2,CLASS1-4FGLDR2,4FGLDR2-3FGL,4FGLDR3,CLASS1-4FGLDR3,4FGLDR3-3FGL,4FGLDR4,CLASS1-4FGLDR4,4FGLDR4-3FGL,status
3,J0001.2-0748,bll,J0001.2-0747,bll,J0001.2-0748,J0001.2-0747,bll,J0001.2-0748,J0001.2-0747,bll,J0001.2-0748,J0001.2-0747,bll,J0001.2-0748,2
4,J0001.4+2120,fsrq,J0001.5+2113,fsrq,J0001.4+2120,J0001.5+2113,fsrq,J0001.4+2120,J0001.5+2113,fsrq,J0001.4+2120,J0001.5+2113,fsrq,J0001.4+2120,2
7,J0002.2-4152,bcu,J0001.6-4156,bcu,J0002.2-4152,J0001.6-4156,bcu,J0002.2-4152,J0001.6-4156,bcu,J0002.2-4152,J0001.6-4156,bcu,J0002.2-4152,2
9,J0003.2-5246,bcu,J0003.1-5248,bcu,J0003.2-5246,J0003.1-5248,bcu,J0003.2-5246,J0003.1-5248,bcu,J0003.2-5246,J0003.1-5248,bcu,J0003.2-5246,2
12,J0003.8-1151,bcu,J0003.9-1149,bll,J0003.8-1151,J0003.9-1149,bll,J0003.8-1151,J0003.9-1149,bll,J0003.8-1151,J0003.9-1149,bll,J0003.8-1151,3
15,J0004.7-4740,fsrq,J0004.4-4737,fsrq,J0004.7-4740,J0004.4-4737,fsrq,J0004.7-4740,J0004.4-4737,fsrq,J0004.7-4740,J0004.4-4737,fsrq,J0004.7-4740,2
17,J0006.4+3825,fsrq,J0005.9+3824,fsrq,J0006.4+3825,J0005.9+3824,fsrq,J0006.4+3825,J0005.9+3824,fsrq,J0006.4+3825,J0005.9+3824,fsrq,J0006.4+3825,2
19,J0007.0+7302,PSR,J0007.0+7303,PSR,J0007.0+7302,J0007.0+7303,PSR,J0007.0+7302,J0007.0+7303,PSR,J0007.0+7302,J0007.0+7303,PSR,J0007.0+7302,2
22,J0008.0+4713,bll,J0008.0+4711,bll,J0008.0+4713,J0008.0+4711,bll,J0008.0+4713,J0008.0+4711,bll,J0008.0+4713,J0008.0+4711,bll,J0008.0+4713,2
25,J0008.6-2340,bll,J0008.4-2339,bll,J0008.6-2340,J0008.4-2339,bll,J0008.6-2340,J0008.4-2339,bll,J0008.6-2340,J0008.4-2339,bll,J0008.6-2340,2
27,J0009.1+0630,bll,J0009.1+0628,bll,J0009.1+0630,J0009.1+0628,bll,J0009.1+0630,J0009.1+0628,bll,J0009.1+0630,J0009.1+0628,bll,J0009.1+0630,2
28,J0009.3+5030,bll,J0009.3+5030,bll,J0009.3+5030,J0009.3+5030,bll,J0009.3+5030,J0009.3+5030,bll,J0009.3+5030,J0009.3+5030,bll,J0009.3+5030,2
29,J0009.6-3211,bcu,J0009.7-3217,rdg,J0009.6-3211,J0009.7-3217,rdg,J0009.6-3211,J0009.7-3217,rdg,J0009.6-3211,J0009.7-3217,rdg,J0009.6-3211,3
31,J0012.4+7040,bcu,J0012.0+7043,bcu,J0012.4+7040,J0012.0+7043,bcu,J0012.4+7040,J0012.0+7043,bcu,J0012.4+7040,J0012.0+7043,bcu,J0012.4+7040,2
32,J0013.2-3954,bll,J0013.1-3955,bll,J0013.2-3954,J0013.1-3955,bll,J0013.2-3954,J0013.1-3955,bll,J0013.2-3954,J0013.1-3955,bll,J0013.2-3954,2
33,J0013.9-1853,bll,J0013.9-1854,bll,J0013.9-1853,J0013.9-1854,bll,J0013.9-1853,J0013.9-1854,bll,J0013.9-1853,J0013.9-1854,bll,J0013.9-1853,2
34,J0014.0-5025,bll,J0014.1-5022,bll,J0014.0-5025,J0014.1-5022,bll,J0014.0-5025,J0014.1-5022,bll,J0014.0-5025,J0014.1-5022,bll,J0014.0-5025,2
36,J0014.6+6119,bcu,J0014.8+6118,bcu,J0014.6+6119,J0014.8+6118,bcu,J0014.6+6119,J0014.8+6118,bcu,J0014.6+6119,J0014.8+6118,bcu,J0014.6+6119,2
37,J0014.7+5802,bll,J0014.7+5801,bll,J0014.7+5802,J0014.7+5801,bll,J0014.7+5802,J0014.7+5801,bll,J0014.7+5802,J0014.7+5801,bll,J0014.7+5802,2
38,J0015.7+5552,bcu,J0015.6+5551,bll,J0015.7+5552,J0015.6+5551,bll,J0015.7+5552,J0015.6+5551,bll,J0015.7+5552,J0015.6+5551,bll,J0015.7+5552,3
39,J0016.3-0013,fsrq,J0016.2-0016,fsrq,J0016.3-0013,J0016.2-0016,fsrq,J0016.3-0013,J0016.2-0016,fsrq,J0016.3-0013,J0016.2-0016,fsrq,J0016.3-0013,2
42,J0017.2-0643,bcu,J0017.0-0649,bcu,J0017.2-0643,J0017.0-0649,bcu,J0017.2-0643,J0017.0-0649,bcu,J0017.2-0643,J0017.0-0649,bcu,J0017.2-0643,2
43,J0017.6-0512,FSRQ,J0017.5-0514,FSRQ,J0017.6-0512,J0017.5-0514,FSRQ,J0017.6-0512,J0017.5-0514,FSRQ,J0017.6-0512,J0017.5-0514,FSRQ,J0017.6-0512,2
44,J0018.4+2947,bll,J0018.4+2946,bll,J0018.4+2947,J0018.4+2946,bll,J0018.4+2947,J0018.4+2946,bll,J0018.4+2947,J0018.4+2946,bll,J0018.4+2947,2
45,J0018.9-8152,bll,J0019.3-8152,bll,J0018.9-8152,J0019.3-8152,bll,J0018.9-8152,J0019.3-8152,bll,J0018.9-8152,J0019.3-8152,bll,J0018.9-8152,2
46,J0019.1-5645,bcu,J0019.2-5640,bcu,J0019.1-5645,J0019.2-5640,bcu,J0019.1-5645,J0019.2-5640,bcu,J0019.1-5645,J0019.2-5640,bcu,J0019.1-5645,2
47,J0019.4+2021,bll,J0019.6+2022,bll,J0019.4+2021,J0019.6+2022,bll,J0019.4+2021,J0019.6+2022,bll,J0019.4+2021,J0019.6+2022,bll,J0019.4+2021,2
49,J0021.6-6835,bcu,J0023.7-6820,bcu,J0021.6-6835,J0023.7-6820,fsrq,J0021.6-6835,J0023.7-6820,fsrq,J0021.6-6835,J0023.7-6820,fsrq,J0021.6-6835,3
50,J0021.6-2553,bll,J0021.5-2552,bll,J0021.6-2553,J0021.5-2552,bll,J0021.6-2553,J0021.5-2552,bll,J0021.6-2553,J0021.5-2552,bll,J0021.6-2553,2
51,J0022.1-1855,bll,J0022.1-1854,bll,J0022.1-1855,J0022.1-1854,bll,J0022.1-1855,J0022.1-1854,bll,J0022.1-1855,J0022.1-1854,bll,J0022.1-1855,2
52,J0022.1-5141,bll,J0021.9-5140,bll,J0022.1-5141,J0021.9-5140,bll,J0022.1-5141,J0021.9-5140,bll,J0022.1-5141,J0021.9-5140,bll,J0022.1-5141,2
53,J0022.5+0608,bll,J0022.5+0608,bll,J0022.5+0608,J0022.5+0608,bll,J0022.5+0608,J0022.5+0608,bll,J0022.5+0608,J0022.5+0608,bll,J0022.5+0608,2
55,J0023.4+0923,PSR,J0023.4+0920,PSR,J0023.4+0923,J0023.4+0920,PSR,J0023.4+0923,J0023.4+0920,MSP,J0023.4+0923,J0023.4+0920,MSP,J0023.4+0923,3
56,J0023.5+4454,fsrq,J0023.7+4457,fsrq,J0023.5+4454,J0023.7+4457,fsrq,J0023.5+4454,J0023.7+4457,fsrq,J0023.5+4454,J0023.7+4457,fsrq,J0023.5+4454,2
57,J0023.9-7203,glc,J0024.0-7204,glc,J0023.9-7203,J0024.0-7204,glc,J0023.9-7203,J0024.0-7204,glc,J0023.9-7203,J0024.0-7204,glc,J0023.9-7203,2
58,J0024.4+0350,fsrq,J0024.7+0349,fsrq,J0024.4+0350,J0024.7+0349,fsrq,J0024.4+0350,J0024.7+0349,fsrq,J0024.4+0350,J0024.7+0349,fsrq,J0024.4+0350,2
