,BSL,CLASS1-BSL,1FGL,CLASS1-1FGL,1FGL-BSL,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL
41,J0538.4-6856,,J0538.9-6914,gal,J0538.4-6856,,,,
44,J0614.3-3330,,J0614.1-3328,,J0614.3-3330,J0614.1-3329,PSR,J0614.3-3330,J0614.1-3328
49,J0643.2+0858,,J0643.2+0859,agu,J0643.2+0858,J0643.2+0858,bzq,J0643.2+0858,J0643.2+0859
65,J0910.2-5044,,J0910.4-5055,,J0910.2-5044,J0910.4-5050,agu,J0910.2-5044,J0910.4-5055
73,J1024.0-5754,,,,,J1023.5-5749c,,J1024.0-5754,
76,J1045.6-5937,,J1045.2-5942,,J1045.6-5937,J1045.0-5941,,J1045.6-5937,J1045.2-5942
86,J1115.8-6108,,,,,,,,
87,J1123.0-6416,,J1122.9-6415,agu,J1123.0-6416,,,,
94,J1231.5-1410,,J1231.1-1410,,J1231.5-1410,J1231.2-1411,PSR,J1231.5-1410,J1231.1-1410
100,J1311.9-3419,,J1311.7-3429,,J1311.9-3419,J1311.7-3429,,J1311.9-3419,J1311.7-3429
102,J1326.6-5302,,J1327.0-5257,agu,J1326.6-5302,J1326.7-5254,bzb,J1326.6-5302,J1327.0-5257
103,J1328.8-5604,,J1329.2-5605,agu,J1328.8-5604,J1329.2-5608,agu,J1328.8-5604,J1329.2-5605
107,J1413.1-6203,,J1413.4-6205,PSR,J1413.1-6203,J1413.4-6204,PSR,J1413.1-6203,J1413.4-6205
110,J1430.5-5918,,,,,,,,
117,J1514.3-4946,,J1514.1-4945,,J1514.3-4946,J1514.1-4946,psr,J1514.3-4946,J1514.1-4945
120,J1536.7-4947,,J1536.5-4949,,J1536.7-4947,J1536.4-4949,,J1536.7-4947,J1536.5-4949
124,J1604.0-4904,,J1603.8-4903,agu,J1604.0-4904,J1603.8-4904,bzb,J1604.0-4904,J1603.8-4903
126,J1622.4-4945,,,,,,,,
129,J1634.9-4737,,,,,,,,
133,J1653.4-0200,,J1653.6-0158,,J1653.4-0200,J1653.6-0159,,J1653.4-0200,J1653.6-0158
139,J1741.4-3046,,,,,J1740.4-3054c,spp,J1741.4-3046,J1740.3-3053c
141,J1746.0-2900,,,,,,,,
146,J1805.3-2138,,J1805.2-2137c,spp,J1805.3-2138,J1805.6-2136e,SNR,J1805.3-2138,
148,J1813.5-1248,,J1813.3-1246,PSR,J1813.5-1248,J1813.4-1246,PSR,J1813.5-1248,J1813.3-1246
150,J1821.4-1444,,,,,,,,
153,J1830.3+0617,,J1830.1+0618,agu,J1830.3+0617,J1830.1+0617,bzq,J1830.3+0617,J1830.1+0618
156,J1836.1-0727,,,,,,,,
158,J1839.0-0549,,J1839.1-0543c,,J1839.0-0549,,,,
159,J1844.1-0335,,J1844.2-0342c,,J1844.1-0335,J1844.3-0343c,,J1844.1-0335,J1844.2-0342c
161,J1848.6-0138,,J1848.1-0145c,,J1848.6-0138,J1848.2-0139c,,J1848.6-0138,J1848.1-0145c
164,J1900.0+0356,,,,,,,,
174,J2001.0+4352,,J2001.1+4351,agu,J2001.0+4352,J2001.1+4352,bzb,J2001.0+4352,J2001.1+4351
180,J2027.5+3334,,J2027.6+3335,,J2027.5+3334,,,,
182,J2055.5+2540,,J2055.8+2539,PSR,J2055.5+2540,J2055.8+2539,PSR,J2055.5+2540,J2055.8+2539
184,J2110.8+4608,,J2111.3+4607,,J2110.8+4608,J2111.3+4605,,J2110.8+4608,J2111.3+4607
194,J2214.8+3002,,J2214.8+3002,,J2214.8+3002,J2214.7+3000,PSR,J2214.8+3002,J2214.8+3002
198,J2241.7-5239,,J2241.9-5236,,J2241.7-5239,J2241.7-5236,PSR,J2241.7-5239,J2241.9-5236
200,J2302.9+4443,,J2302.8+4443,,J2302.9+4443,J2302.7+4443,PSR,J2302.9+4443,J2302.8+4443
203,J2339.8-0530,,J2339.7-0531,,J2339.8-0530,J2339.6-0532,,J2339.8-0530,J2339.7-0531
